tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp
128,8,32,1,31.70099258422852,10771007
64,8,32,1,63.23712158203125,10777578
1024,8,32,1,3.992575883865357,10779498
1024,16,64,2,5.103616237640381,10781779
1024,8,256,1,5.906432151794434,10784751
128,8,16,1,31.58937644958496,10790020
1024,16,32,1,4.385791778564453,10792101
1024,16,32,1,4.387839794158936,10794483
1024,8,32,1,3.992575883865357,10796604
1024,4,16,1,4.048895835876465,10800431
1024,4,32,1,4.084735870361328,10802853
1024,8,16,1,4.395008087158203,10805248
1024,16,8,4,4.4165120124816895,10807618
512,8,16,1,7.926784038543701,10810834
1024,16,32,2,5.1609601974487305,10814665
1024,8,32,1,3.9935998916625977,10817823
1024,8,32,1,3.992575883865357,10820646
1024,8,32,1,3.992575883865357,10822755
256,8,32,1,15.881216049194336,10826622
512,8,32,1,7.968768119812012,10828718
1024,8,16,1,4.393983840942383,10831017
256,8,32,1,15.881216049194336,10834519
1024,16,32,1,4.380671977996826,10837029
1024,32,32,8,7.334911823272705,10841031
1024,16,32,2,5.157887935638428,10843695
1024,8,32,1,3.992575883865357,10846197
1024,2,32,1,4.093952178955078,10848941
32,8,32,1,126.30425262451172,10859937
64,16,1,2,68.54450988769531,10867208
512,8,1,1,31.906816482543945,10871838
8,16,8,2,467.451904296875,10873856
512,16,4,2,11.34284782409668,10877490
1024,64,32,2,9.32147216796875,10880826
1024,32,2,2,29.16864013671875,10886210
1024,16,32,1,4.380671977996826,10888341
1024,4,16,1,4.047872066497803,10890960
1024,8,16,2,4.048895835876465,10894037
1024,1,32,1,4.1154561042785645,10896865
1024,16,32,1,4.380671977996826,10899108
1024,8,32,1,3.992575883865357,10902147
1024,16,32,1,4.383743762969971,10904372
1024,16,32,2,5.157887935638428,10907188
1024,8,32,1,3.992575883865357,10909409
1024,16,128,2,5.892096042633057,10911848
1024,8,32,1,3.992575883865357,10914495
1024,4,32,1,4.085760116577148,10917024
